19/4.4.2; 120dpi; 240x320; LGE; LG-D100; luv20ss; mt6572
19/4.4.2; 120dpi; 240x320; LGE; LG-D125; luv30ds; mt6572
19/4.4.2; 120dpi; 240x320; samsung; SM-G110B; pocket23g; scx15
19/4.4.2; 160dpi; 320x480; LGE; LG-D157f; w35ds; w35ds
19/4.4.2; 160dpi; 600x1024; samsung; SM-T210; lt02wifi; pxa988
19/4.4.2; 160dpi; 600x1024; samsung; SM-T217S; lt02ltespr; qcom
19/4.4.2; 160dpi; 600x976; DL; Tablet DL 3405; redhookbay; redhookbay
19/4.4.2; 160dpi; 600x976; Multilaser; M7-3G QUAD CORE; scx35_sp7731geaplus_pad_hd; sc7731
19/4.4.2; 160dpi; 600x976; Multilaser; M7-3G_QUAD_CORE; M7-3G_QUAD_CORE; sc7731
19/4.4.2; 160dpi; 600x976; Multilaser; ML11-M7sQuadCore; ML11-M7sQuadCore; sun8i
19/4.4.2; 160dpi; 600x976; Positivo; Positivo Ypy AB7F; YPY_AB7F; sun6i
19/4.4.2; 160dpi; 720x1280; samsung; SM-G900F; klte; qcom
19/4.4.2; 160dpi; 800x1232; Positivo; T1060B; t1060; mt8389
19/4.4.2; 160dpi; 800x1280; samsung; GT-P5210; santos10wifi; santos10wifi
19/4.4.2; 213dpi; 800x1280; samsung; GT-N5110; konawifi; smdk4x12
19/4.4.2; 213dpi; 800x1280; samsung; SM-T230NU; degaswifiue; pxa1088
19/4.4.2; 240dpi; 1280x720; motorola; XT1052; ghost; qcom
19/4.4.2; 240dpi; 480x734; LGE; LG-D295; l70pds; l70pds
19/4.4.2; 240dpi; 480x744; Sony; D2104; D2104; qcom
19/4.4.2; 240dpi; 480x854; HUAWEI; HUAWEI Y625-U51; HWY625-U; qcom
19/4.4.2; 240dpi; 540x886; LGE; LG-D618; g2mds; g2mds
19/4.4.2; 240dpi; 540x888; LGE; LG-D690n; b2ldsn; mt6582
19/4.4.2; 240dpi; 540x888; Sony; D2306; D2306; qcom
19/4.4.2; 240dpi; 540x888; Sony; D2403; D2403; qcom
19/4.4.2; 240dpi; 540x960; =Multilaser; MS6; Multilaser; mt6582
19/4.4.2; 240dpi; 540x960; LGE; LG-D685; luv90ds; mt6577
19/4.4.2; 240dpi; 720x1244; samsung; SM-N950N; greatlteks; samsungexynos8895
19/4.4.2; 240dpi; 720x1280; HUAWEI; PLK-TL01H; htc_m8tl; qcom
19/4.4.2; 240dpi; 720x1280; LGE; LGM-V300K; joan_kt_kr; joan
19/4.4.2; 240dpi; 720x1280; motorola; XT1052; ghost; qcom
19/4.4.2; 240dpi; 720x1280; samsung; SAMSUNG-SM-N900A; hlteatt; universal5420
19/4.4.2; 240dpi; 720x1280; samsung; SM-G7106; ms013g; qcom
19/4.4.2; 240dpi; 720x1280; samsung; SM-G965N; dream2qltechn; samsungexynos8890
19/4.4.2; 240dpi; 900x1600; samsung; SAMSUNG-SM-N900A; hlteatt; universal5420
19/4.4.2; 320dpi; 1600x2560; samsung; SM-T320; mondrianwifi; qcom
19/4.4.2; 320dpi; 720x1184; motorola; RAZR HD; vanquish_u; qcom
19/4.4.2; 320dpi; 720x1184; motorola; XT1032; falcon_umts; qcom
19/4.4.2; 320dpi; 720x1184; motorola; XT1058; ghost; qcom
19/4.4.2; 320dpi; 720x1188; LGE; LG-D724; jag3gds; jag3gds
19/4.4.2; 320dpi; 720x1188; LGE; LG-F520S; aka; aka
19/4.4.2; 320dpi; 720x1280; BLU; BLU STUDIO X8 HD; BLU_STUDIO_X8_HD; mt6592
19/4.4.2; 320dpi; 720x1280; HUAWEI; CHC-U01; hwCHC-H; hi6210sft
19/4.4.2; 320dpi; 720x1280; LENOVO; Lenovo A806; A806; mt6592
19/4.4.2; 320dpi; 720x1280; asus; ASUS_T00J; ASUS_T00J1; redhookbay
19/4.4.2; 320dpi; 720x1280; samsung; Nexus; android; titan
19/4.4.2; 320dpi; 720x1280; samsung; SM-C115M; m2alte; universal5260
19/4.4.2; 480dpi; 1080x1920; samsung; SM-G900MD; klte; qcom
19/4.4.3; 320dpi; 720x1184; motorola; XT1033; falcon_umtsds; qcom
19/4.4.4; 160dpi; 1024x720; SUPRIF; 945GCM-S2C; x86; android_x86
19/4.4.4; 160dpi; 1368x719; Positivo; Positivo SX1000; SX1000; rk30board
19/4.4.4; 160dpi; 600x1024; samsung; SM-T116; goyave3g; sc8830
19/4.4.4; 240dpi; 480x800; samsung; GT-I9060M; grandneove3g; sc8830
19/4.4.4; 240dpi; 480x800; samsung; SM-G316M; vivalto5mve3g; sc8830
19/4.4.4; 240dpi; 480x800; samsung; SM-G318ML; vivalto3mveml3g; sc8830
19/4.4.4; 240dpi; 480x800; samsung; SM-J100H; j13g; sc8830
19/4.4.4; 240dpi; 480x800; samsung; SM-J110H; j1pop3g; sc8830
19/4.4.4; 240dpi; 540x888; Sony; D2403; D2403; qcom
19/4.4.4; 240dpi; 540x888; motorola; XT1025; condor_udstv; qcom
19/4.4.4; 240dpi; 600x1024; HUAWEI; CHM-TL00H; hlteuc; ttVM_x86
19/4.4.4; 320dpi; 720x1184; motorola; XT1040; peregrine; qcom
19/4.4.4; 320dpi; 720x1280; HUAWEI; Che1-CL20; Che1; qcom
19/4.4.4; 320dpi; 720x1280; samsung; SM-A500M; a5lte; qcom
19/4.4.4; 320dpi; 720x1280; samsung; SM-E700M; e7lte; qcom
21/5.0.0; 320dpi; 720x1184; BLU; BLU STUDIO C; STUDIO_C; mt6582
21/5.0.0; 320dpi; 720x1184; Sony; E2306; E2306; qcom
21/5.0.0; 320dpi; 720x1184; motorola; XT1033; falcon_umtsds; qcom
21/5.0.0; 320dpi; 720x1280; asus; ASUS_T00J; ASUS_T00J; redhookbay
21/5.0.0; 320dpi; 720x1280; asus; ASUS_Z002; ASUS_Z002; redhookbay
21/5.0.1; 480dpi; 1080x1920; samsung; GT-I9500; ja3g; universal5410
21/5.0.1; 480dpi; 1080x1920; samsung; GT-I9506; ks01lte; qcom
21/5.0.2; 160dpi; 800x1280; samsung; SM-T530; matissewifi; qcom
21/5.0.2; 213dpi; 800x1212; LGE; LG-V400; e7wifi; e7wifi
21/5.0.2; 240dpi; 480x854; Mirage; MG500; MS50; mt6582
21/5.0.2; 240dpi; 540x960; samsung; SM-G530H; fortunave3g; qcom
21/5.0.2; 320dpi; 720x1184; motorola; XT1068; titan_umtsds; qcom
21/5.0.2; 320dpi; 720x1184; motorola; XT1069; titan_udstv; qcom
21/5.0.2; 320dpi; 720x1184; motorola; XT1078; thea_umtsds; qcom
21/5.0.2; 320dpi; 720x1188; LGE; LG-H520; mc90; mc90
21/5.0.2; 320dpi; 720x1188; LGE; LG-H522; mc90ds; mc90ds
21/5.0.2; 320dpi; 720x1280; asus; ASUS_Z00LD; ASUS_Z00L_63; qcom
21/5.0.2; 320dpi; 720x1280; samsung; SM-G850F; slte; universal5430
21/5.0.2; 480dpi; 1080x1920; HTC; HTC One; m7; m7
21/5.0.2; 480dpi; 1080x1920; asus; ASUS_Z011D; ASUS_Z011; qcom
21/5.0.2; 640dpi; 1440x2560; motorola; XT1225; quark_umts; qcom
21/5.0.2; 640dpi; 1440x2560; samsung; SM-G920I; zeroflte; samsungexynos7420
22/5.1.0; 160dpi; 1280x640; Jide; Remix Mini; rm1g; sun50iw1p1
